Rettungspunkt,Longitude,Latitude,Koordinaten,Schnellestes Fahrzeug,Anfahrtszeit,Nächstes Fahrzeug,Anfahrtsdistanz,Ankunft innerhalb 5min,Zeit_HM 81/1,Zeit_PA 84/1,Zeit_WK 81/1,Zeit_WK 84/1,Zeit_Fi 81/1,Zeit_Mifi 84/1,Zeit_Mifi 81/1 W,Zeit_Schöf 81/1,Zeit_Gr 81/1,Entf_HM 81/1,Entf_PA 84/1,Entf_WK 81/1,Entf_WK 84/1,Entf_Fi 81/1,Entf_Mifi 84/1,Entf_Mifi 81/1 W,Entf_Schöf 81/1,Entf_Gr 81/1
Isarhofen - Ortenburg, 13.20503,48.57153," 13.20503,48.57153",PA 84/1,26:22 min,PA 84/1,24.1 km,PA 84/1,69:45 min,26:22 min,63:33 min,50:58 min,77:03 min,72:08 min,72:08 min,46:37 min,62:03 min,64.8 km,24.1 km,52.5 km,43.4 km,75.2 km,78.4 km,78.4 km,45.7 km,49.7 km
Jaging - Ortenburg, 13.16610,48.57882," 13.16610,48.57882",PA 84/1,28:46 min,PA 84/1,28.1 km,PA 84/1,72:09 min,28:46 min,65:57 min,53:22 min,79:27 min,74:32 min,74:32 min,44:45 min,60:11 min,68.8 km,28.1 km,56.5 km,47.4 km,79.2 km,82.5 km,82.5 km,44.3 km,48.4 km
Kaiseraign - Ortenburg, 13.18768,48.54627," 13.18768,48.54627",PA 84/1,32:07 min,PA 84/1,24.3 km,PA 84/1,77:02 min,32:07 min,70:50 min,58:15 min,84:20 min,79:25 min,79:25 min,52:30 min,67:55 min,69.3 km,24.3 km,57.0 km,47.9 km,79.7 km,82.9 km,82.9 km,49.6 km,53.7 km
Kallöd - Ortenburg, 13.23904,48.58365," 13.23904,48.58365",PA 84/1,23:56 min,PA 84/1,20.2 km,PA 84/1,67:19 min,23:56 min,61:07 min,48:32 min,74:37 min,69:42 min,69:42 min,47:49 min,63:14 min,60.9 km,20.2 km,48.6 km,39.5 km,71.3 km,74.5 km,74.5 km,46.5 km,50.5 km
Kaltenöd - Ortenburg, 13.19693,48.59003," 13.19693,48.59003",PA 84/1,27:37 min,PA 84/1,24.8 km,PA 84/1,71:00 min,27:37 min,64:48 min,52:13 min,78:18 min,73:23 min,73:23 min,43:59 min,59:24 min,65.5 km,24.8 km,53.2 km,44.1 km,75.9 km,79.1 km,79.1 km,43.3 km,47.3 km
Kamm - Ortenburg, 13.21910,48.55482," 13.21910,48.55482",PA 84/1,27:18 min,PA 84/1,19.6 km,PA 84/1,70:55 min,27:18 min,64:44 min,52:08 min,78:14 min,73:18 min,73:18 min,49:28 min,64:53 min,65.8 km,19.6 km,53.5 km,44.4 km,76.2 km,79.5 km,79.5 km,47.9 km,52.0 km
Klugsöd - Ortenburg, 13.24224,48.57643," 13.24224,48.57643",PA 84/1,22:52 min,PA 84/1,21.2 km,PA 84/1,66:15 min,22:52 min,60:03 min,47:28 min,73:33 min,68:38 min,68:38 min,46:45 min,62:10 min,61.9 km,21.2 km,49.6 km,40.5 km,72.2 km,75.5 km,75.5 km,47.5 km,51.5 km
Knadlarn - Ortenburg, 13.19473,48.59347," 13.19473,48.59347",PA 84/1,26:38 min,PA 84/1,24.0 km,PA 84/1,70:01 min,26:38 min,63:49 min,51:14 min,77:19 min,72:24 min,72:24 min,43:00 min,58:25 min,64.7 km,24.0 km,52.4 km,43.3 km,75.1 km,78.3 km,78.3 km,42.6 km,46.6 km
Kollmann - Ortenburg, 13.20043,48.53680," 13.20043,48.53680",PA 84/1,28:45 min,PA 84/1,21.9 km,PA 84/1,76:23 min,28:45 min,70:12 min,57:36 min,83:42 min,78:46 min,78:46 min,55:28 min,70:42 min,67.5 km,21.9 km,55.3 km,46.2 km,78.0 km,81.2 km,81.2 km,51.1 km,68.4 km
Königbach - Ortenburg, 13.25390,48.54010," 13.25390,48.54010",PA 84/1,27:00 min,PA 84/1,18.0 km,PA 84/1,72:01 min,27:00 min,65:50 min,53:14 min,79:20 min,74:24 min,74:24 min,52:31 min,67:39 min,65.6 km,18.0 km,53.4 km,44.2 km,76.0 km,79.2 km,79.2 km,51.2 km,60.1 km
Kronöd - Ortenburg, 13.26445,48.55645," 13.26445,48.55645",PA 84/1,24:35 min,PA 84/1,16.1 km,PA 84/1,69:35 min,24:35 min,63:24 min,50:48 min,76:54 min,71:58 min,71:58 min,50:07 min,65:03 min,57.7 km,16.1 km,45.4 km,36.3 km,68.1 km,71.3 km,71.3 km,49.5 km,59.0 km
Kronthal - Ortenburg, 13.18209,48.57699," 13.18209,48.57699",PA 84/1,31:36 min,PA 84/1,26.6 km,PA 84/1,74:59 min,31:36 min,68:48 min,56:12 min,82:18 min,77:22 min,77:22 min,47:55 min,63:20 min,67.2 km,26.6 km,55.0 km,45.9 km,77.6 km,80.9 km,80.9 km,46.0 km,50.0 km
Kühhügl - Ortenburg, 13.23481,48.57171," 13.23481,48.57171",PA 84/1,24:41 min,PA 84/1,22.2 km,PA 84/1,68:04 min,24:41 min,61:53 min,49:17 min,75:23 min,70:27 min,70:27 min,48:34 min,64:00 min,62.9 km,22.2 km,50.6 km,41.5 km,73.2 km,76.5 km,76.5 km,48.5 km,52.5 km
Leingart - Ortenburg, 13.18694,48.54076," 13.18694,48.54076",PA 84/1,30:54 min,PA 84/1,24.2 km,PA 84/1,78:00 min,30:54 min,71:49 min,59:13 min,85:19 min,80:23 min,80:23 min,52:53 min,68:19 min,70.0 km,24.2 km,57.7 km,48.6 km,80.4 km,83.6 km,83.6 km,50.1 km,54.1 km
Lengfelden - Ortenburg, 13.18244,48.59082," 13.18244,48.59082",PA 84/1,28:36 min,PA 84/1,24.8 km,PA 84/1,71:58 min,28:36 min,65:47 min,53:12 min,79:17 min,74:21 min,74:21 min,44:52 min,60:17 min,65.5 km,24.8 km,53.2 km,44.1 km,75.9 km,79.2 km,79.2 km,43.7 km,47.7 km
Linden - Ortenburg, 13.26689,48.55894," 13.26689,48.55894",PA 84/1,23:56 min,PA 84/1,16.1 km,PA 84/1,68:57 min,23:56 min,62:45 min,50:10 min,76:15 min,71:20 min,71:20 min,49:35 min,64:24 min,57.7 km,16.1 km,45.4 km,36.3 km,68.1 km,71.3 km,71.3 km,59.3 km,59.0 km
Lohfeld - Ortenburg, 13.20421,48.56016," 13.20421,48.56016",PA 84/1,29:07 min,PA 84/1,25.4 km,PA 84/1,72:30 min,29:07 min,66:18 min,53:43 min,79:48 min,74:53 min,74:53 min,49:22 min,64:48 min,66.1 km,25.4 km,53.9 km,44.7 km,76.5 km,79.8 km,79.8 km,47.0 km,51.0 km
Lughof - Ortenburg, 13.24308,48.51517," 13.24308,48.51517",PA 84/1,22:53 min,PA 84/1,18.4 km,PA 84/1,70:31 min,22:53 min,64:20 min,51:44 min,77:50 min,72:54 min,72:54 min,50:00 min,64:50 min,64.1 km,18.4 km,51.8 km,42.7 km,74.5 km,77.7 km,77.7 km,65.3 km,65.0 km
Luisenthal - Ortenburg, 13.23688,48.55662," 13.23688,48.55662",PA 84/1,26:06 min,PA 84/1,22.9 km,PA 84/1,69:28 min,26:06 min,63:17 min,50:42 min,76:47 min,71:51 min,71:51 min,49:59 min,65:24 min,63.6 km,22.9 km,51.3 km,42.2 km,74.0 km,77.2 km,77.2 km,49.2 km,53.2 km
Maierhof - Ortenburg, 13.21021,48.57341," 13.21021,48.57341",PA 84/1,25:30 min,PA 84/1,23.6 km,PA 84/1,68:53 min,25:30 min,62:41 min,50:06 min,76:11 min,71:16 min,71:16 min,46:40 min,62:05 min,64.3 km,23.6 km,52.0 km,42.9 km,74.7 km,78.0 km,78.0 km,45.7 km,49.7 km
Maiersberg - Ortenburg, 13.19307,48.54774," 13.19307,48.54774",PA 84/1,32:01 min,PA 84/1,24.6 km,PA 84/1,75:50 min,32:01 min,69:38 min,57:03 min,83:08 min,78:13 min,78:13 min,52:42 min,68:08 min,68.8 km,24.6 km,56.5 km,47.4 km,79.2 km,82.4 km,82.4 km,49.7 km,53.7 km
Moosham - Ortenburg, 13.21498,48.54532," 13.21498,48.54532",PA 84/1,28:29 min,PA 84/1,22.2 km,PA 84/1,74:16 min,28:29 min,68:05 min,55:30 min,81:35 min,76:39 min,76:39 min,51:09 min,66:34 min,67.8 km,22.2 km,55.5 km,46.4 km,78.2 km,81.5 km,81.5 km,48.7 km,52.7 km
Neuhaus - Ortenburg, 13.20977,48.55483," 13.20977,48.55483",PA 84/1,28:26 min,PA 84/1,23.4 km,PA 84/1,71:55 min,28:26 min,65:44 min,53:08 min,79:14 min,74:18 min,74:18 min,48:48 min,64:13 min,66.7 km,23.4 km,54.5 km,45.3 km,77.1 km,80.4 km,80.4 km,47.6 km,51.6 km
Neustift - Ortenburg, 13.19424,48.58275," 13.19424,48.58275",PA 84/1,30:44 min,PA 84/1,26.3 km,PA 84/1,74:07 min,30:44 min,67:56 min,55:20 min,81:26 min,76:30 min,76:30 min,47:08 min,62:33 min,67.0 km,26.3 km,54.7 km,45.6 km,77.4 km,80.6 km,80.6 km,44.6 km,48.6 km
